Product Group ID,Product Group Name,Description,Category,Target Market,Average Price Range,Key Features,Launch Date,Discontinuation Date,Market Share
1,Computing,Headphones and wearables,Home Goods,Audiophiles,50$ - 200$,Camera,4/21/2023,N/A,30%
2,Audio Equipment,Speakers and soundbars,Home Goods,Professionals,50$ - 200$,Touchscreen,1/12/2023,N/A,25%
3,Computing,Smartphones and tablets,Home Goods,General Public,100$ - 300$,Durable,9/17/2022,N/A,20%
4,Mobile Devices,Laptops and desktops,Electronics,Families,100$ - 300$,Camera,2/2/2023,N/A,50%
5,Audio Equipment,Smartphones and tablets,Home Goods,General Public,50$ - 200$,Durable,8/14/2022,N/A,20%
6,Accessories,Laptops and desktops,Electronics,Youth,70$ - 310$,Smart Connectivity,6/2/2023,N/A,15%
7,Accessories,Speakers and soundbars,Electronics,Families,30$ - 99$,Wireless,2/9/2023,N/A,5%
8,Home Appliances,Speakers and soundbars,Home Goods,Audiophiles,350$ - 500$,Camera,8/2/2022,N/A,10%
9,Audio Equipment,Headphones and wearables,Home Goods,Audiophiles,30$ - 99$,High Performance,5/23/2023,N/A,15%
10,Accessories,Speakers and soundbars,Home Goods,Professionals,200$ - 500$,Durable,7/11/2022,N/A,25%
11,Home Appliances,Headphones and wearables,Electronics,Youth,200$ - 500$,Durable,5/29/2023,N/A,30%
12,Computing,Speakers and soundbars,Home Goods,Professionals,200$ - 500$,High Performance,8/17/2022,N/A,10%
13,Home Appliances,Smart home devices,Electronics,Professionals,70$ - 310$,Wireless,5/30/2023,N/A,25%
14,Audio Equipment,Smartphones and tablets,Home Goods,Audiophiles,200$ - 500$,High Performance,3/16/2023,N/A,35%
15,Accessories,Headphones and wearables,Home Goods,Audiophiles,350$ - 500$,High Performance,9/20/2022,N/A,15%
16,Accessories,Speakers and soundbars,Home Goods,Youth,50$ - 200$,Durable,5/14/2023,N/A,35%
17,Audio Equipment,Smart home devices,Electronics,Families,30$ - 99$,Camera,11/29/2022,N/A,40%
18,Mobile Devices,Laptops and desktops,Home Goods,General Public,30$ - 99$,Wireless,1/10/2023,N/A,10%
19,Home Appliances,Headphones and wearables,Electronics,Professionals,50$ - 200$,Wireless,11/6/2022,N/A,5%
20,Computing,Smart home devices,Home Goods,General Public,50$ - 200$,Camera,5/15/2023,N/A,5%
21,Mobile Devices,Laptops and desktops,Electronics,Youth,100$ - 300$,High Performance,9/24/2022,N/A,5%
22,Mobile Devices,Smartphones and tablets,Electronics,Audiophiles,70$ - 310$,Wireless,7/15/2022,N/A,25%
23,Computing,Smartphones and tablets,Electronics,Families,70$ - 310$,Wireless,10/11/2022,N/A,35%
24,Accessories,Smartphones and tablets,Home Goods,Families,70$ - 310$,Wireless,6/18/2022,N/A,10%
25,Home Appliances,Speakers and soundbars,Home Goods,Families,100$ - 300$,Touchscreen,1/21/2023,N/A,5%
26,Audio Equipment,Laptops and desktops,Home Goods,Audiophiles,50$ - 200$,High Fidelity Audio,1/12/2023,N/A,40%
27,Accessories,Headphones and wearables,Home Goods,Audiophiles,350$ - 500$,High Fidelity Audio,8/18/2022,N/A,35%
28,Computing,Speakers and soundbars,Home Goods,Youth,200$ - 500$,Smart Connectivity,1/9/2023,N/A,20%
29,Mobile Devices,Headphones and wearables,Electronics,Youth,100$ - 300$,Touchscreen,7/13/2022,N/A,35%
30,Audio Equipment,Laptops and desktops,Electronics,Youth,70$ - 310$,High Fidelity Audio,12/30/2022,N/A,30%
31,Home Appliances,Laptops and desktops,Electronics,Youth,30$ - 99$,Touchscreen,1/10/2023,N/A,25%
32,Mobile Devices,Headphones and wearables,Electronics,Youth,30$ - 99$,Durable,10/21/2022,N/A,30%
33,Accessories,Speakers and soundbars,Electronics,Audiophiles,30$ - 99$,High Performance,2/1/2023,N/A,25%
34,Mobile Devices,Speakers and soundbars,Home Goods,General Public,100$ - 300$,High Performance,4/30/2023,N/A,15%
35,Computing,Laptops and desktops,Home Goods,Audiophiles,200$ - 500$,Touchscreen,3/25/2023,N/A,30%
36,Audio Equipment,Headphones and wearables,Home Goods,Youth,100$ - 300$,Durable,4/6/2023,N/A,20%
37,Accessories,Smart home devices,Electronics,Families,100$ - 300$,Touchscreen,11/15/2022,N/A,35%
38,Accessories,Smart home devices,Electronics,General Public,70$ - 310$,Durable,8/1/2022,N/A,15%
39,Mobile Devices,Speakers and soundbars,Home Goods,Professionals,70$ - 310$,High Performance,5/9/2023,N/A,40%
40,Audio Equipment,Headphones and wearables,Electronics,Youth,100$ - 300$,Smart Connectivity,9/22/2022,N/A,25%
41,Home Appliances,Smart home devices,Home Goods,Audiophiles,30$ - 99$,Durable,1/30/2023,N/A,25%
42,Audio Equipment,Smartphones and tablets,Electronics,Audiophiles,350$ - 500$,High Performance,12/3/2022,N/A,25%
43,Computing,Headphones and wearables,Electronics,Audiophiles,30$ - 99$,Wireless,11/20/2022,N/A,50%
44,Audio Equipment,Headphones and wearables,Electronics,Audiophiles,70$ - 310$,Smart Connectivity,6/22/2022,N/A,15%
45,Computing,Laptops and desktops,Home Goods,General Public,100$ - 300$,High Fidelity Audio,2/1/2023,N/A,15%
46,Home Appliances,Smartphones and tablets,Electronics,Youth,350$ - 500$,Wireless,2/2/2023,N/A,30%
47,Accessories,Headphones and wearables,Electronics,Audiophiles,70$ - 310$,Wireless,11/18/2022,N/A,20%
48,Mobile Devices,Smartphones and tablets,Electronics,Youth,50$ - 200$,High Performance,2/20/2023,N/A,30%
49,Accessories,Smartphones and tablets,Electronics,Professionals,350$ - 500$,Camera,5/16/2023,N/A,10%
50,Accessories,Laptops and desktops,Home Goods,General Public,50$ - 200$,Smart Connectivity,5/10/2023,N/A,40%
51,Mobile Devices,Laptops and desktops,Home Goods,General Public,100$ - 300$,Durable,4/17/2023,N/A,20%
52,Audio Equipment,Smart home devices,Home Goods,General Public,70$ - 310$,Wireless,3/22/2023,N/A,20%
53,Computing,Smartphones and tablets,Electronics,Audiophiles,200$ - 500$,High Fidelity Audio,8/18/2022,N/A,35%
54,Computing,Smartphones and tablets,Electronics,Youth,100$ - 300$,Durable,9/24/2022,N/A,35%
55,Audio Equipment,Headphones and wearables,Home Goods,Families,350$ - 500$,Camera,1/20/2023,N/A,50%
56,Computing,Speakers and soundbars,Home Goods,Professionals,100$ - 300$,Durable,8/17/2022,N/A,20%
57,Audio Equipment,Laptops and desktops,Home Goods,Youth,30$ - 99$,High Fidelity Audio,12/16/2022,N/A,30%
58,Audio Equipment,Speakers and soundbars,Electronics,Youth,200$ - 500$,Durable,6/10/2023,N/A,20%
59,Computing,Smartphones and tablets,Home Goods,Families,200$ - 500$,High Performance,8/19/2022,N/A,15%
60,Accessories,Smartphones and tablets,Home Goods,Youth,350$ - 500$,Camera,3/24/2023,N/A,15%
61,Home Appliances,Smart home devices,Electronics,Youth,70$ - 310$,High Performance,8/29/2022,N/A,25%
62,Mobile Devices,Smartphones and tablets,Electronics,Families,100$ - 300$,Durable,3/19/2023,N/A,20%
63,Mobile Devices,Smartphones and tablets,Electronics,Audiophiles,30$ - 99$,Smart Connectivity,12/12/2022,N/A,30%
64,Accessories,Laptops and desktops,Home Goods,Professionals,30$ - 99$,High Performance,1/17/2023,N/A,15%
65,Accessories,Headphones and wearables,Home Goods,General Public,70$ - 310$,Wireless,10/12/2022,N/A,50%
66,Home Appliances,Speakers and soundbars,Home Goods,Audiophiles,70$ - 310$,Wireless,7/15/2022,N/A,40%
67,Audio Equipment,Speakers and soundbars,Home Goods,Youth,100$ - 300$,High Performance,1/7/2023,N/A,25%
68,Mobile Devices,Speakers and soundbars,Home Goods,Professionals,70$ - 310$,High Fidelity Audio,6/9/2023,N/A,50%
69,Computing,Headphones and wearables,Electronics,Families,200$ - 500$,Smart Connectivity,1/10/2023,N/A,10%
70,Audio Equipment,Smartphones and tablets,Electronics,Audiophiles,30$ - 99$,Wireless,1/13/2023,N/A,10%
71,Mobile Devices,Speakers and soundbars,Electronics,Families,30$ - 99$,Camera,8/12/2022,N/A,35%
72,Audio Equipment,Smartphones and tablets,Electronics,General Public,350$ - 500$,High Performance,12/28/2022,N/A,40%
73,Mobile Devices,Smart home devices,Electronics,Youth,200$ - 500$,Smart Connectivity,3/24/2023,N/A,30%
74,Audio Equipment,Smartphones and tablets,Electronics,Youth,200$ - 500$,High Fidelity Audio,3/11/2023,N/A,35%
75,Mobile Devices,Smart home devices,Home Goods,Audiophiles,30$ - 99$,Camera,1/23/2023,N/A,5%
76,Audio Equipment,Laptops and desktops,Electronics,General Public,100$ - 300$,Camera,11/25/2022,N/A,35%
77,Mobile Devices,Smartphones and tablets,Electronics,Families,30$ - 99$,High Performance,12/5/2022,N/A,30%
78,Home Appliances,Laptops and desktops,Electronics,Audiophiles,70$ - 310$,Smart Connectivity,2/18/2023,N/A,50%
79,Audio Equipment,Laptops and desktops,Electronics,Audiophiles,50$ - 200$,High Performance,12/5/2022,N/A,40%
80,Home Appliances,Laptops and desktops,Home Goods,Youth,200$ - 500$,Touchscreen,8/13/2022,N/A,30%
81,Home Appliances,Smart home devices,Home Goods,General Public,200$ - 500$,Wireless,1/17/2023,N/A,10%
82,Home Appliances,Smartphones and tablets,Home Goods,Professionals,30$ - 99$,Touchscreen,5/7/2023,N/A,25%
83,Accessories,Headphones and wearables,Electronics,Professionals,50$ - 200$,Durable,9/13/2022,N/A,40%
84,Mobile Devices,Laptops and desktops,Electronics,Professionals,30$ - 99$,High Performance,8/23/2022,N/A,10%
85,Mobile Devices,Laptops and desktops,Electronics,Youth,350$ - 500$,High Performance,8/27/2022,N/A,40%
86,Home Appliances,Smartphones and tablets,Electronics,Youth,50$ - 200$,Wireless,3/15/2023,N/A,15%
87,Mobile Devices,Laptops and desktops,Electronics,Professionals,50$ - 200$,High Fidelity Audio,6/1/2023,N/A,35%
